point_index,latitude,longitude,altitude_m,distance_from_prev_m,bearing_deg,slope_deg
104,-26.799779,27.831619,1492.0,4.46,356.17,0.0
105,-26.799716,27.831603,1492.0,7.18,347.23,0.0
106,-26.799665,27.831593,1491.0,5.76,350.07,-9.8538
107,-26.799584,27.831577,1491.0,9.15,350.0,0.0
108,-26.799513,27.831559,1490.0,8.09,347.25,-7.0427
109,-26.799426,27.831533,1490.0,10.01,345.06,0.0
110,-26.799361,27.831519,1490.0,7.36,349.12,0.0
111,-26.799247,27.83149,1489.0,13.0,347.21,-4.3991
112,-26.799124,27.831455,1489.0,14.11,345.75,0.0
113,-26.799,27.831406,1488.0,14.62,340.57,-3.9127
114,-26.798702,27.831286,1488.0,35.21,340.23,0.0
115,-26.798538,27.831203,1487.0,20.01,335.69,-2.8609
116,-26.79833,27.831096,1487.0,25.45,335.34,0.0
117,-26.798075,27.830959,1487.0,31.45,334.38,0.0
118,-26.797795,27.830798,1487.0,35.0,332.83,0.0
119,-26.797438,27.830598,1486.0,44.38,333.43,-1.2907
120,-26.797135,27.830428,1486.0,37.68,333.4,0.0
121,-26.796742,27.830212,1486.0,48.68,333.87,0.0
122,-26.796421,27.830046,1485.0,39.31,335.22,-1.4571
123,-26.795853,27.829741,1483.0,70.04,334.39,-1.6357
124,-26.79494,27.829196,1484.0,115.03,331.95,0.4981
125,-26.793333,27.82824,1480.0,202.32,332.03,-1.1326
126,-26.792516,27.827752,1480.0,102.95,331.93,0.0
127,-26.789822,27.82612,1476.0,340.55,331.6,-0.6729
128,-26.78854,27.825344,1476.0,162.03,331.62,0.0
129,-26.787874,27.824949,1475.0,83.79,332.1,-0.6837
130,-26.787578,27.824771,1474.0,37.36,331.77,-1.5334
131,-26.787362,27.824654,1474.0,26.68,334.19,0.0
132,-26.787195,27.824562,1474.0,20.69,333.81,0.0
133,-26.78699,27.824465,1474.0,24.75,337.1,0.0
134,-26.786834,27.824408,1474.0,18.25,341.93,0.0
135,-26.786662,27.824351,1475.0,19.94,343.52,2.8703
136,-26.786494,27.824303,1475.0,19.28,345.69,0.0
137,-26.786333,27.824252,1475.0,18.6,344.21,0.0
138,-26.786049,27.824186,1475.0,32.25,348.28,0.0
139,-26.78572,27.824123,1475.0,37.11,350.3,0.0
140,-26.785497,27.824084,1476.0,25.1,351.13,2.2818
141,-26.785268,27.824037,1476.0,25.89,349.62,0.0
142,-26.785034,27.824007,1476.0,26.19,353.47,0.0
143,-26.784834,27.82399,1475.0,22.3,355.66,-2.5673
144,-26.784694,27.823982,1475.0,15.59,357.08,0.0
145,-26.784584,27.823977,1474.0,12.24,357.68,-4.6701
146,-26.784378,27.823978,1473.0,22.91,0.25,-2.4997
147,-26.784183,27.823993,1472.0,21.73,3.93,-2.6344
148,-26.783848,27.82402,1471.0,37.35,4.12,-1.5338
149,-26.783556,27.824028,1471.0,32.48,1.4,0.0
150,-26.78325,27.824043,1471.0,34.06,2.51,0.0
151,-26.781984,27.824131,1472.0,141.04,3.55,0.4062
152,-26.78082,27.824212,1471.0,129.68,3.55,-0.4418
153,-26.77882,27.824349,1470.0,222.81,3.5,-0.2572
154,-26.777327,27.824467,1470.0,166.43,4.04,0.0
155,-26.776917,27.82448,1470.0,45.61,1.62,0.0
156,-26.775435,27.824599,1468.0,165.21,4.1,-0.6936
157,-26.773878,27.824695,1467.0,173.39,3.15,-0.3304
158,-26.772474,27.824784,1466.0,156.37,3.24,-0.3664
159,-26.770504,27.824933,1461.0,219.55,3.86,-1.3046
160,-26.768392,27.825089,1460.0,235.35,3.77,-0.2434
161,-26.767827,27.825126,1458.0,62.93,3.35,-1.8203
162,-26.767284,27.825128,1457.0,60.38,0.19,-0.9488
163,-26.766745,27.82512,1458.0,59.94,359.24,0.9558
164,-26.766423,27.82511,1457.0,35.82,358.41,-1.5992
165,-26.76596,27.825082,1456.0,51.56,356.91,-1.1111
166,-26.76491,27.824984,1453.0,117.16,355.24,-1.4668
167,-26.762746,27.824856,1452.0,240.96,356.98,-0.2378
168,-26.761721,27.824771,1452.0,114.29,355.77,0.0
169,-26.760688,27.824745,1451.0,114.89,358.71,-0.4987
170,-26.760487,27.824739,1451.0,22.36,358.47,0.0
171,-26.7601,27.824743,1450.0,43.03,0.53,-1.3312
172,-26.759765,27.824756,1449.0,37.27,1.98,-1.5368
173,-26.759448,27.82477,1449.0,35.28,2.26,0.0
174,-26.759036,27.824788,1448.0,45.85,2.23,-1.2495
175,-26.758671,27.824814,1447.0,40.67,3.64,-1.4086
176,-26.758403,27.824842,1447.0,29.93,5.33,0.0
177,-26.757879,27.8249,1446.0,58.55,5.64,-0.9785
178,-26.757362,27.824974,1445.0,57.96,7.28,-0.9885
179,-26.755494,27.825262,1441.0,209.67,7.84,-1.0929
180,-26.754051,27.82551,1438.0,162.33,8.72,-1.0587
181,-26.751239,27.826,1426.0,316.44,8.84,-2.1717
182,-26.749438,27.826266,1429.0,202.0,7.51,0.8509
183,-26.748878,27.826327,1432.0,62.56,5.56,2.7453
184,-26.748386,27.826405,1434.0,55.25,8.06,2.073
185,-26.748094,27.826424,1435.0,32.52,3.33,1.7611
186,-26.74772,27.826426,1436.0,41.59,0.27,1.3775
187,-26.747357,27.826405,1436.0,40.42,357.04,0.0
188,-26.747081,27.826369,1437.0,30.9,353.36,1.8537
189,-26.746888,27.82634,1437.0,21.65,352.36,0.0
190,-26.746566,27.826251,1438.0,36.88,346.14,1.5532
191,-26.746323,27.82618,1439.0,27.92,345.38,2.0509
192,-26.746073,27.826095,1439.0,29.05,343.11,0.0
193,-26.745822,27.825991,1439.0,29.76,339.69,0.0
194,-26.745228,27.825704,1440.0,71.94,336.66,0.7964
195,-26.744685,27.825469,1442.0,64.73,338.87,1.7697
196,-26.743029,27.824687,1449.0,199.84,337.13,2.0061
197,-26.742608,27.824491,1452.0,50.7,337.42,3.3865
198,-26.740937,27.8237,1459.0,201.73,337.08,1.9874
199,-26.740099,27.82334,1462.0,99.8,339.01,1.7217
200,-26.739692,27.823174,1463.0,48.17,339.99,1.1894
201,-26.739295,27.823038,1464.0,46.16,342.99,1.2409
202,-26.738913,27.822918,1466.0,44.12,344.33,2.5957
203,-26.738549,27.822824,1468.0,41.54,347.01,2.7566
204,-26.738095,27.822708,1470.0,51.78,347.15,2.2119
205,-26.73727,27.822552,1472.0,93.03,350.41,1.2315
206,-26.736336,27.822365,1472.0,105.5,349.86,0.0
207,-26.73516,27.822116,1474.0,133.08,349.29,0.861
208,-26.734041,27.821886,1475.0,126.51,349.6,0.4529
209,-26.73345,27.821762,1476.0,66.86,349.39,0.8569
210,-26.733283,27.821725,1477.0,18.93,348.81,3.024
211,-26.733148,27.821697,1477.0,15.27,349.51,0.0
212,-26.73305,27.821673,1477.0,11.15,347.66,0.0
213,-26.733002,27.821661,1477.0,5.47,347.41,0.0
214,-26.732907,27.821639,1477.0,10.79,348.31,0.0
215,-26.732729,27.8216,1478.0,20.17,348.93,2.8386
216,-26.73163,27.821377,1476.0,124.19,349.73,-0.9226
217,-26.730786,27.821215,1477.0,95.22,350.27,0.6017
218,-26.729798,27.821004,1478.0,111.84,349.2,0.5123
219,-26.728972,27.820846,1480.0,93.18,350.3,1.2296
220,-26.727706,27.820576,1481.0,143.3,349.22,0.3998
221,-26.726743,27.820378,1481.0,108.87,349.59,0.0
222,-26.724318,27.81988,1484.0,274.15,349.61,0.627
223,-26.723285,27.819669,1487.0,116.76,349.66,1.4718
224,-26.722619,27.819531,1487.0,75.31,349.51,0.0
225,-26.722234,27.81945,1487.0,43.56,349.36,0.0
226,-26.721748,27.819326,1487.0,55.43,347.16,0.0
227,-26.721528,27.819264,1488.0,25.23,345.87,2.2701
228,-26.721109,27.819129,1489.0,48.48,343.94,1.1816
229,-26.720838,27.819038,1490.0,31.46,343.3,1.8206
230,-26.720694,27.818982,1490.0,16.95,340.84,0.0
231,-26.720021,27.818726,1490.0,79.04,341.23,0.0
232,-26.719615,27.818583,1489.0,47.33,342.54,-1.2105
233,-26.719452,27.818528,1488.0,18.93,343.23,-3.0239
234,-26.719278,27.818475,1488.0,20.05,344.78,0.0
235,-26.719093,27.81843,1487.0,21.05,347.74,-2.7197
236,-26.71898,27.818409,1487.0,12.74,350.58,0.0
237,-26.718842,27.81839,1487.0,15.46,352.99,0.0
238,-26.718677,27.81837,1486.0,18.45,353.82,-3.1017
239,-26.718519,27.818363,1486.0,17.58,357.73,0.0
240,-26.71808,27.818346,1487.0,48.84,358.02,1.1729
241,-26.717627,27.818303,1488.0,50.55,355.15,1.1333
242,-26.717188,27.818275,1489.0,48.89,356.74,1.1717
243,-26.7169,27.818241,1489.0,32.2,353.98,0.0
244,-26.716631,27.818233,1489.0,29.92,358.48,0.0
245,-26.715631,27.818037,1486.0,112.89,350.07,-1.5223
246,-26.714703,27.817758,1485.0,106.85,344.97,-0.5362
247,-26.714152,27.817614,1485.0,62.92,346.86,0.0
248,-26.713668,27.817479,1486.0,55.46,346.01,1.0329
249,-26.713475,27.817419,1486.0,22.27,344.48,0.0
250,-26.713259,27.817352,1486.0,24.92,344.51,0.0
251,-26.712413,27.817046,1484.0,98.86,342.09,-1.159
252,-26.711983,27.816895,1483.0,50.11,342.58,-1.1432
253,-26.711738,27.8168,1482.0,28.83,340.9,-1.9865
254,-26.711543,27.816711,1482.0,23.42,337.82,0.0
255,-26.711359,27.81662,1482.0,22.37,336.16,0.0
256,-26.710987,27.816404,1482.0,46.6,332.59,0.0
257,-26.710421,27.816057,1481.0,71.76,331.29,-0.7984
258,-26.709945,27.815819,1479.0,57.97,335.93,-1.976
259,-26.709388,27.815464,1477.0,71.27,330.35,-1.6074
260,-26.709214,27.815343,1476.0,22.78,328.15,-2.5139
261,-26.708401,27.814808,1478.0,104.86,329.55,1.0926
262,-26.707334,27.814158,1474.0,135.08,331.45,-1.6962
263,-26.70717,27.814065,1475.0,20.44,333.13,2.8006
264,-26.707,27.813979,1476.0,20.74,335.68,2.7599
265,-26.706816,27.813891,1476.0,22.25,336.87,0.0
266,-26.706173,27.813609,1478.0,76.79,338.61,1.4919
267,-26.705999,27.813523,1479.0,21.15,336.18,2.707
268,-26.705859,27.813455,1479.0,16.97,336.54,0.0
269,-26.705741,27.813392,1479.0,14.54,334.5,0.0
270,-26.705505,27.813252,1480.0,29.7,332.08,1.9285
271,-26.705053,27.813012,1480.0,55.63,334.62,0.0
272,-26.704856,27.812884,1482.0,25.33,329.87,4.5149
273,-26.704686,27.812779,1483.0,21.59,331.11,2.652
274,-26.704565,27.8127,1484.0,15.58,329.75,3.6735
275,-26.704509,27.812632,1484.0,9.19,312.67,0.0
276,-26.704469,27.812594,1485.0,5.83,319.68,9.7271
277,-26.704411,27.81255,1485.0,7.79,325.87,0.0
278,-26.704302,27.812464,1486.0,14.83,324.82,3.8581
279,-26.704185,27.812386,1487.0,15.14,329.22,3.7783
280,-26.704087,27.812324,1488.0,12.52,330.53,4.5677
281,-26.704002,27.812275,1488.0,10.63,332.75,0.0
282,-26.70391,27.812212,1488.0,11.99,328.54,0.0
283,-26.703809,27.812149,1488.0,12.86,330.87,0.0
284,-26.703682,27.812073,1488.0,16.01,331.87,0.0
285,-26.703577,27.812012,1488.0,13.15,332.57,0.0
286,-26.703509,27.811976,1488.0,8.36,334.69,0.0
287,-26.703436,27.811929,1488.0,9.36,330.09,0.0
288,-26.703293,27.811841,1487.0,18.15,331.2,-3.1544
289,-26.703184,27.811771,1488.0,13.97,330.16,4.0934
290,-26.703154,27.811751,1488.0,3.88,329.22,0.0
291,-26.703115,27.811731,1488.0,4.77,335.39,0.0
292,-26.70307,27.811705,1488.0,5.63,332.7,0.0
293,-26.703025,27.811682,1488.0,5.5,335.46,0.0
294,-26.702947,27.811644,1489.0,9.46,336.48,6.0348
295,-26.702901,27.81163,1489.0,5.3,344.79,0.0
296,-26.702838,27.811623,1489.0,7.04,354.33,0.0
297,-26.702461,27.811385,1493.0,48.13,330.58,4.7511
298,-26.70195,27.811057,1495.0,65.5,330.17,1.749
299,-26.701278,27.810638,1493.0,85.53,330.88,-1.3395
300,-26.700126,27.809898,1493.0,147.69,330.15,0.0
301,-26.697804,27.808439,1497.0,296.09,330.69,0.774
302,-26.696904,27.807854,1497.0,115.73,329.86,0.0
303,-26.696497,27.807572,1497.0,53.23,328.24,0.0
304,-26.69619,27.807361,1498.0,40.06,328.45,1.43
305,-26.696081,27.807288,1498.0,14.12,329.11,0.0
306,-26.696027,27.807216,1498.0,9.34,310.01,0.0
307,-26.695972,27.807162,1498.0,8.14,318.74,0.0
308,-26.695812,27.807043,1498.0,21.36,326.4,0.0
309,-26.695668,27.806956,1498.0,18.2,331.64,0.0
310,-26.695202,27.806659,1499.0,59.63,330.34,0.9608
311,-26.695135,27.80661,1499.0,8.9,326.84,0.0
312,-26.694922,27.80647,1499.0,27.47,329.58,0.0
313,-26.694601,27.80628,1499.0,40.38,332.13,0.0
314,-26.694402,27.806169,1499.0,24.72,333.51,0.0
315,-26.694338,27.806143,1499.0,7.57,340.05,0.0
316,-26.694232,27.806111,1499.0,12.21,344.91,0.0
317,-26.694203,27.80609,1499.0,3.84,327.1,0.0
318,-26.693174,27.805326,1496.0,137.3,326.44,-1.2517
319,-26.691161,27.803832,1498.0,268.57,326.45,0.4267
320,-26.691135,27.803787,1498.0,5.32,302.89,0.0
321,-26.691093,27.803736,1498.0,6.89,312.67,0.0
322,-26.691052,27.80369,1498.0,6.46,314.93,0.0
323,-26.690899,27.803571,1498.0,20.72,325.2,0.0
324,-26.690612,27.803349,1498.0,38.79,325.35,0.0
325,-26.690552,27.8033,1498.0,8.26,323.88,0.0
326,-26.690475,27.803238,1498.0,10.55,324.27,0.0
327,-26.690186,27.803035,1498.0,37.94,327.89,0.0
328,-26.690066,27.802945,1498.0,16.06,326.17,0.0
329,-26.689592,27.802577,1498.0,64.15,325.25,0.0
330,-26.689264,27.80235,1497.0,42.88,328.27,-1.3359
331,-26.68919,27.802308,1497.0,9.23,333.11,0.0
332,-26.689131,27.802281,1497.0,7.09,337.76,0.0
333,-26.689076,27.802261,1497.0,6.43,342.0,0.0
334,-26.689024,27.802248,1496.0,5.92,347.41,-9.5805
335,-26.687853,27.801339,1497.0,158.46,325.26,0.3616
336,-26.687422,27.801022,1498.0,57.35,326.69,0.999
337,-26.686975,27.800696,1498.0,59.33,326.91,0.0
338,-26.685608,27.799707,1494.0,181.0,327.12,-1.266
339,-26.682453,27.797351,1495.0,421.74,326.29,0.1359
340,-26.682373,27.797209,1495.0,16.68,302.23,0.0
341,-26.682268,27.797124,1495.0,14.41,324.12,0.0
342,-26.682093,27.79699,1495.0,23.58,325.62,0.0
343,-26.681846,27.796818,1494.0,32.35,328.11,-1.7707
344,-26.681426,27.79652,1492.0,55.3,327.63,-2.0714
345,-26.680977,27.796194,1490.0,59.51,327.03,-1.9248
346,-26.680826,27.796102,1490.0,19.12,331.44,0.0
347,-26.680661,27.796025,1491.0,19.88,337.36,2.8799
348,-26.680217,27.795686,1494.0,59.77,325.7,2.8736
349,-26.678326,27.794273,1490.0,252.83,326.27,-0.9064
350,-26.678106,27.794122,1489.0,28.7,328.48,-1.9958
351,-26.677794,27.793885,1489.0,41.93,325.83,0.0
352,-26.67763,27.793755,1488.0,22.35,324.69,-2.5622
353,-26.677305,27.793515,1488.0,43.3,326.58,0.0
